school_name,campus_name,school_code,campus_code,school_type,school_nature,district,address,lng,lat,school_tel,direct_middle_school,community_name,street_name,student_type,year
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,百郦玲珑府,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,春棠澜府,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,风颂府,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,黄家社区,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,金色黎明,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,揽月臻翠府,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,黎明社区,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,黎明花苑,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,森临澜府,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,同心社区,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,原筑壹号,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,月塘璟宸府,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,浜河海棠景轩,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,浜河社区,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,晟世黎明嘉苑,笕桥街道,户籍生,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,金色黎明,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,同心社区,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,笕桥镇同心村,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,原筑壹号,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,风颂府,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,明石路,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,森临澜府,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,黎明花苑,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,揽月臻翠府,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,月塘璟宸府,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,黎明社区,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,晟世黎明嘉苑,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,春棠澜府,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,百郦玲珑府,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,笕桥镇黄家村,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,黄家社区,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,浜河海棠景轩,笕桥街道,新杭州人,2026
杭州八一学校,,L000000124,L000000124001,初中,非民办,上城区,杭州市上城区笕桥街道浜河路55号,,,,,浜河社区,笕桥街道,新杭州人,2026
