school_name,campus_name,school_code,campus_code,district,district_code,school_type,school_nature,address,lng,lat,school_tel,student_count,class_count,teacher_count,school_scope,direct_middle_school,school_detail,communities_hj,communities_xhzr,community_count,year,visit_times
杭州八一学校,,L000000124,L000000124001,上城区,330102,初中,非民办,杭州市上城区笕桥街道浜河路55号,120.235194,30.311913,0571-86016181,0,0,0,同心社区、黄家社区、浜河社区、黎明社区、金色黎明社区,,杭州八一学校坐落于笕桥生态公园单元地块，于2025年5月正式建成，是隶属杭州市钱学森教育集团的公办九年一贯制学校。学校占地136余亩，建筑面积约16万方，最高配置90个教学班。学校将红色文化传承融入育人全过程，以国防教育、科创教育为突破，引领学生全面发展。依托杭州市钱学森教育集团的“大成智慧”教育理念与优质学校全要素资源，通过创建系统化课程、多元化活动、特色化校园，努力构建高质量学校体系，建设国际化、现代化一流学校，引领基础教育高质量发展。,百郦玲珑府;春棠澜府;风颂府;黄家社区;金色黎明;揽月臻翠府;黎明社区;黎明花苑;森临澜府;同心社区;原筑壹号;月塘璟宸府;浜河海棠景轩;浜河社区;晟世黎明嘉苑,金色黎明;同心社区;笕桥镇同心村;原筑壹号;风颂府;明石路;森临澜府;黎明花苑;揽月臻翠府;月塘璟宸府;黎明社区;晟世黎明嘉苑;春棠澜府;百郦玲珑府;笕桥镇黄家村;黄家社区;浜河海棠景轩;浜河社区;笕桥镇浜河村;海棠景轩;璟佳映月轩,36,2026,0
杭州市明远未来小学,,2133003382,2133003382001,上城区,330102,小学,非民办,上城区彭埠街道凤起东路1759号,120.25884,30.295629,0571-85902024,140,4,12,七堡社区（艮山东路以南）、红五月社区（艮山东路以南）,,"杭州市明远未来小学是一所以传承当代著名教育家顾明远先生“没有爱就没有教育，没有兴趣就没有学习，教书育人在细微处，学生成长在活动中”为教育理念开办的全日制公办学校。学校遵循“扎根中国，融通中外；立足时代，面向未来”的办学定位，以“向着明远那方”为办学理念，以“明心启智  玩创致远”为校训，同时以书香明智为基，以创新实践为重，以做未来主人为志，致力于创办一所具有中国品格与世界胸怀的未来学校。
    学校建筑秉持学生为主体的设计理念，并以“飘带”的形象要素将教学楼串联环状布局，围合成中央共享内院，融入江南园林意向。各功能教室围绕中心庭院展开，尤其是对校园复合空间的打造，积极营造学校社区化氛围。校园空间色彩明丽，景观设计清雅悠远，具有浓厚的现代空间艺术感，旨在为学生提供良好的学习和成长环境，着力打造一所“学校行稳致远、教师明心睿智、学生全而有特、家长责任担当”的实验性、示范性、现代化品牌学校。",江月望云轩;七堡尚潮府;七堡璟涛湾;天澜海岸公寓;谊秀名府,七堡尚潮府;江月望云轩;天澜海岸公寓;七堡璟涛湾;谊秀名府;七堡社区;七堡居民区,12,2026,0
杭州市崇文未来学校,,2133003102,2133003102001,上城区,330102,小学,非民办,杭州市上城区甘王路3号,120.192408,30.240326,0571-86568206,0,0,0,大通桥社区、始版桥社区、莫邪塘社区、清泰门社区、望江街道的兴隆社区,,"杭州市崇文未来学校坐落于望北新城未来金融科技城，是杭州市上城区教育局举办，杭州市崇文教育集团下属的公办小学。
    学校秉承崇文书院历史文脉，以崇文舫课、曲院风荷等经典校史景观为背景，白墙飞檐式的主体建筑与江南庭院式的室外景观交相辉映，凸显“崇文尚德”的书院气质。
    学校将传承崇文新班级教育特色，围绕望北未来金融科技城“科技创新”的街区发展定位创新办学特色。学校以“五育并举”为核心，全面推进课程时空重构，着眼学科综合，变革学习方式，为学生提供多个现代化学习中心和精美别致的庭院空间，满足不同特质学生的个性化成长和人际交往需求。
   悠悠西子湖，滚滚钱江潮，崇文未来学校将在古老历史与时代潮流的交融中翻开崭新的未来篇章！",茶亭弄;大通新村;东宝翠轩;甘王新村;甘王近江新村;海潮御品公寓;海潮望月城;杭州肉厂宿舍;杭源御潮府;江明月朗园;金地御品;锦都世家;莫邪塘东村;莫邪塘北村;莫邪塘南村;莫邪塘西村;清江花园;清泰南苑;始版桥东村;始版桥新村;始版桥花园;望江新园一园;望江新园三园;望江新园二园;望江新村;霞晖北村;霞晖南村;新丰新村;新丰苑;兴隆东村;兴隆西村;映霞璟庭,东宝翠轩;始版桥新村;秋涛路;海潮望月城;茶亭弄;映霞璟庭;始版桥东村;兴隆东村;兴隆西村;江明月朗园;莫邪塘南村;冰厂宿舍;莫邪塘西村;莫邪塘东村;清泰南苑;甘王新村;新丰新村;莫邪塘北村;甘王近江新村;清江花园;锦都世家;新丰苑;海潮御品公寓;望江新园三园;霞晖南村;大通新村;杭州肉厂宿舍;始版桥花园;霞晖北村;望江新园一园;杭源御潮府;金地御品;望江新园二园;望江新村;兴隆路;兴隆路一弄;东宝路一弄;始版桥直街;海潮路;东宝路;始版桥直街;兴隆路;茶亭弄;茶亭弄一弄;海潮路;甘王路;近江路;近江支路;莫邪塘沁轩;秋涛路一弄;近江新村;清江路;甘王路;海潮路;望江村;三多弄;望江路;始版桥直街;东宝里;下灰团巷;木场里,93,2026,0
杭州市东城外国语实验学校,,3133000878,3133000878001,上城区,330102,初中,非民办,上城区九堡街道努振巷1号,120.265153,30.31318,0571-89239363,1620,36,0,蚕桑社区（德胜路以南）、牛田社区、金海社区,,杭州市东城外国语实验学校是上城区的公办九年一贯制学校，位于九堡核心地块。学校秉承共建人类命运共同体的时代精神，紧抓共同富裕示范区建设的历史机遇，以国际教育、科创教育、智慧教育为特色，着力打造全人素养发展中心、全域文化交融中心、全民体育健身中心，实践多样化课程设计、多元化发展方向、多维化教师成长等发展路径，培养具有民族情怀、世界胸襟、跨文化交流能力的高素质创新型人才。,潮前府;晨光绿苑;创展名邸;东方公寓;东都公寓;风林公寓;九堡镇牛田村;丽澜轩;牛田社区;天澜美境;望钱塘云庄;香滨湾;聆潮府,牛田;丽澜轩;望钱塘云庄;潮前府;香滨湾;天澜美境;聆潮府;创展名邸;东方公寓;晨光绿苑;东都公寓;风林公寓;蚕桑社区,26,2026,0
杭州市胜利实验笕成小学,,2133002588,2133002588001,上城区,330102,小学,非民办,上城区笕桥街道源聚支路5号,120.230442,30.300518,0571-81382283,0,0,0,白石社区,,杭州市胜利实验笕成小学是由杭州市胜利实验学校领办的一所承载现代教育理念，彰显现代教育功能的学校。学校秉承“幸福生活每一天”的办学理念和“崇文尚德、立己达人”的校训，致力于培养具有求知探源、水滴石穿精神的笕成学子和具备致知力行、润物无声特质的笕成教师。在“和而不同，兼容并蓄”的教育理念引领下，探求适合每一位师生自身发展的最优道路。,东莱府;归锦府;海尚观邸;明石东潮府;宁巢明石公寓;钱塘白石嘉苑;盛茂府;天聚府;悦风华邸;皓玉府,天聚府;海尚观邸;东莱府;盛茂府;悦风华邸;钱塘白石嘉苑;归锦府;明石东潮府;皓玉府;皓玉府;源聚路;白石社区;宁巢明石公寓,23,2026,0
杭州市天长观潮小学,,2133002586,2133002586001,上城区,330102,小学,非民办,杭州市上城区渡口路107号,120.232437,30.284339,0571-86962022,0,36,83,五堡社区、御道社区、章家坝社区（塘工局路以东）、云峰社区（塘工局路以东）,,杭州市天长小学观潮校区，是由杭州市天长小学领办的一所高起点、高标准、现代化、国际化的全日制公办小学。该校区坐落于杭州市上城区渡口路188号，位于杭州市钱江新城二期的核心区，学校占地31400平方米，建筑面积45000平方米，拥有完备的教学设施。观潮校区秉承天长小学的尊重每个学生差异的核心价值取向，以培养具有现代感的天长学子作为培养目标，探索具有创新意识和创新能力的现代公民的培养路径。校区将充分发挥天长小学的优质教师资源，设立天长小学特级教师教学研究中心，为该校区教育教学研究、教师队伍建设提供系统化支持。选派由特级教师、名师、骨干教师组成的强大师资入住观潮校区管理与教学，为创办一所高品质、满足儿童个性化的学校而努力！,潮观平澜府;潮观揽月轩;椿泽公寓;东宁云府;观翠揽月轩;江华玺云轩;栖江揽月轩;钱江华府;五堡悦荣湾东区;五堡悦荣湾西区;御道家园;云峰家园;芝澜月华轩;翡云润府,钱江华府;御道家园;观翠揽月轩;翡云润府;潮观平澜府;云峰家园;东宁云府;栖江揽月轩;江华玺云轩;五堡悦荣湾东区;悦荣湾;潮观揽月轩;五堡悦荣湾西区;芝澜月华轩;椿泽公寓;彭埠镇御道村;御道社区;五堡社区,32,2026,0
杭州市崇文实验学校（杭州市崇文小学）,,213300055401,213300055401001,上城区,330102,小学,非民办,上城区望江街道近江南路1号,120.201056,30.232135,0571-86560816,288,7,26,"近江东园社区、在水一方社区
[上述社区流动人口随迁子女到杭州市蒋筑英学校进行信息核验]",,杭州市崇文实验学校（杭州市崇文小学）源于1599年崇文书院，秉承“崇文尚德”的校训，以“新班级教育”为办学特色，致力于将校园打造为师生成长的乐园。学校环境优雅、设施现代，拥有大堂式门厅、中置大操场、综合化教学楼、音乐厅、风雨操场、观摩教室、开放式阅览室等特色建筑。学校实施“新班级教育”课程体系，以“教学协同、学科综合、技术现代”为核心，打造适合每个学生发展的课堂。学校现有特级教师1人，高级教师10人，省市级教坛新秀、学科带头人、优秀班主任40余人，拥有一支爱岗敬业、团结协作的教师队伍。,滨江家园;滨江新苑;江韵园;近江家园一园;近江家园三园;近江家园二园;近江家园五园;近江家园四园;景江城市花园;临江风帆;钱江时代公寓;世纪坊;天福花园;在水一方;怡和苑,,15,2026,0
浙江师范大学附属丁蕙实验小学,,2133000858,2133000858002,上城区,330102,小学,非民办,丁兰街道三义路59号,120.232564,30.367179,0571-81067754,1219,30,18,沿山村、皋城村、三义苑社区、白马庄社区、华睦社区,杭州市丁蕙实验中学,学校秉承“生命·生态·生长”的三生办学理念，以生命教育为核心，智慧教育为特色，不断提升办学水平，受到社会各界的一致好评，社会影响力不断提升，办学规模逐年扩大。2016年，第二校区杭州市丁蕙第二小学建立，校址在天龙路55号；2017年，第三校区临风书院建立，校址在三义路59号，2021年，第四个校区杭州市丁蕙第二小学白鹤校区启用。学校始终坚持推进“一训三风”，以实施“三生”教育，成就孩子一生为办学愿景；以生命厚德、生态育人、幸福生长为校风；以博爱、优雅、智慧、创新为教风；以“蕙”雅、“蕙”思、“蕙”行、“蕙”美为学风。2020年8月，沈建华为第二任校长，在全体丁蕙人的不懈努力下，先后获得了“全国智慧校园示范校”、“中国智慧教育工程实验校”、“中国学生营养与健康示范学校”、“全国青少年人工智能特色单位”、“浙江省智慧教育示范校”、“浙江省首批教师发展示范校”、“浙江省A级食堂”等国家、省级三十项多项综合荣誉。,长睦锦苑;皋城村;红郡御庄;锦唐家园;久睦苑;郡上蓝湾;润如园;三义苑;沿山村;御东方园;云锦城,润如园;红郡御庄;郡上蓝湾;长睦锦苑;久睦苑;御东方园;三义苑;锦唐苑;锦唐家园;云锦城;沿山村;皋城村;御东方园;长睦社区;三义苑;三义社区,27,2026,0
杭州市丁蕙第二小学（白鹤校区）,,2133001350,2133001350002,上城区,330102,小学,非民办,丁兰街道怀希路3号,120.247331,30.364328,0571-81067729,209,5,9,"枫景园社区、华亭社区
[临平区星桥街道周杨社区卓悦华庭1-13幢房户一致、房证（居住证）一致业主的适龄子女可到该校登记报名]",杭州市丁蕙第二实验中学,杭州市丁蕙第二小学白鹤校区于2021年启用，为丁蕙实验小学第四个校区，统一管理。学校秉承“生命·生态·生长”的三生办学理念，以生命教育为核心，智慧教育为特色，不断提升办学水平，受到社会各界的一致好评，社会影响力不断提升，办学规模逐年扩大。学校始终坚持推进“一训三风”，以实施“三生”教育，成就孩子一生为办学愿景；以生命厚德、生态育人、幸福生长为校风；以博爱、优雅、智慧、创新为教风。以“蕙”雅、“蕙”思、“蕙”行、“蕙”美为学风，先后获得了“全国智慧校园示范校”、“中国智慧教育工程实验校”、“中国学生营养与健康示范学校”、“全国青少年人工智能特色单位”、“浙江省智慧教育示范校”、“浙江省首批教师发展示范校”、“浙江省A级食堂”等国家、省级三十项多项综合荣誉。,北城枫景园;长睦华天苑;明熙府;云亭公寓;卓悦华庭,北城枫景园;长睦华天苑;明熙府;云亭公寓;卓悦华庭,10,2026,0
杭州市凤凰小学,,2133001659,2133001659002,上城区,330102,小学,非民办,紫阳街道南瓦坊12号,120.175856,30.221502,17767095035（工作日8:30-16:30）,524,12,29,"凤凰社区（姚江路以南）、春江社区、新工社区
[上述社区流动人口随迁子女到杭州市胜利山南小学进行信息核验]",杭州市杭州中学,杭州市凤凰小学创建于2017年，现有钱江、秋涛两个校区。学校秉持“精神高贵，梦想斑斓”的办学理念，传承“诚毅博正”的校训，以“办一所具有吸引力的现代化学校”为办学愿景，以培养“正行善交、多彩健康、博学致远”的凤凰学子为育人目标。学校自创办以来先后被评为浙江省现代化学校、浙江省健康促进学校银奖、杭州市第五批国际化示范学校、杭州市第二批教师发展示范学校、杭州市教育改革创新年度学校，获浙江省基础教育教学成果一等奖。学校的办学质量获得了人民群众的认可和社会各界的赞誉。学校以课业负担轻、学业质量高、学生风貌好的好口碑成为上城美好教育的展示窗口。,柴校坊;春江花月映霞苑;春江花月晓风苑;春江花月月华苑;春江花月江树苑;春江花月流云苑;春江花月潇湘苑;春江花月芳甸苑;二凉亭;凤凰北苑;凤凰南苑;木材新村;南瓦坊;秋江雅院;秋涛南苑;太平巷;新工新村,,17,2026,0
