school_name,campus_code,community_name,street_name,district,student_type,year
杭州八一学校,L000000124001,百郦玲珑府,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,春棠澜府,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,风颂府,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,黄家社区,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,金色黎明,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,揽月臻翠府,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,黎明社区,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,黎明花苑,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,森临澜府,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,同心社区,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,原筑壹号,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,月塘璟宸府,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,浜河海棠景轩,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,浜河社区,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,晟世黎明嘉苑,笕桥街道,上城区,户籍生,2026
杭州八一学校,L000000124001,金色黎明,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,同心社区,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,笕桥镇同心村,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,原筑壹号,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,风颂府,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,明石路,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,森临澜府,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,黎明花苑,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,揽月臻翠府,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,月塘璟宸府,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,黎明社区,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,晟世黎明嘉苑,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,春棠澜府,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,百郦玲珑府,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,笕桥镇黄家村,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,黄家社区,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,浜河海棠景轩,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,浜河社区,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,笕桥镇浜河村,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,海棠景轩,笕桥街道,上城区,新杭州人,2026
杭州八一学校,L000000124001,璟佳映月轩,笕桥街道,上城区,新杭州人,2026
杭州市明远未来小学,2133003382001,江月望云轩,彭埠街道,上城区,户籍生,2026
杭州市明远未来小学,2133003382001,七堡尚潮府,彭埠街道,上城区,户籍生,2026
杭州市明远未来小学,2133003382001,七堡璟涛湾,彭埠街道,上城区,户籍生,2026
